PALABRA;SINONIMO-1;SINONIMO-2;SINONIMO-3
FIEBRE ALTA;ALTA TEMPERATURA;HIPERTERMIA
DOLOR CORPORAL;DOLOR MUSCULAR;MIALGIA
DOLOR DE OJOS;MOLESTIA OCULAR;AFLICCION OCULAR
DOLOR DE CABEZA;CEFALEA;AFLICION ENCEFALOCRANEAL
VOMITOS;EMESIS;NAUSEAS
DIARREA;EVACUACION;COLITIS
SECRECION NASAL;CONGESTION NASAL;MUCOSIDAD
DECAIMIENTO;AGOTAMIENTO;DEBILITAMIENTO
ARDOR EN LOS OJOS;CONJUNTIVITIS;OJOS ARDIENTES
ARDOR AL ORINAR;INFECCION URINARIA;DISURIA
SENTIRSE FEBRIL;SENTIRSE AGITADO;CUERPO CALENTANDOSE
DOLOR DE GARGANTA;GARGANTA RASPADA;IRRITACION EN LA GARGANTA
PERDIDA DEL GUSTO;AGEUSIA;DISMINUCION DEL APETITO
PERDIDA DEL OLFATO;ANOSMIA;INCAPACIDAD PARA OLER
OXIGENA̱CION BAJA;CANSANCIO A LOS MINIMOS ESFUERZOS;ANOXIA
DOLOR EN EL PECHO;AFLICCION EN LA CAJA TORAXICA;FUNSEPA
DOLOR LUMBAR;DOLOR EN LA ESPALDA BAJA;INFLAMACION SUB LUMBAR
TOS SECA;ESPASMO PERSISTENTE;CARRASPEO IRRITANTE
SEQUEDAD EN LA GARGANTA;XEROSTOMIA;BOCA SECA
PICAZON EN LA GARGANTA;PICOR DE GARGANTA;ARDOR DE GARGANTA
OJOS ARDIENTES, OJOS CALIENTES, CALOR OCULAR
